iter	Logloss
0	0.6661698514
1	0.6367155754
2	0.620423285
3	0.6072625282
4	0.5847496698
5	0.5666163912
6	0.5525248483
7	0.5429541569
8	0.5275183556
9	0.514916132
10	0.50215067
11	0.487836953
12	0.4776900119
13	0.4661605118
14	0.456056326
15	0.4508425309
16	0.4461751848
17	0.4401140661
18	0.4361828798
19	0.4308453246
20	0.4278416474
21	0.4213993149
22	0.4173208915
23	0.4118926285
24	0.4092514755
25	0.4056846055
26	0.4026241943
27	0.3997702631
28	0.3982032161
29	0.3949142046
30	0.3932627736
31	0.3909782051
32	0.3897023553
33	0.387262434
34	0.385281198
35	0.383340874
36	0.3814111492
37	0.3789777308
38	0.3772379984
39	0.3755787843
40	0.3744650719
41	0.3732174867
42	0.3723326305
43	0.3711565005
44	0.3700744834
45	0.3689982779
46	0.3673833041
47	0.3654060108
48	0.3643164667
49	0.3631195222
50	0.3616415958
51	0.3610121964
52	0.3596422848
53	0.3582272114
54	0.3570363858
55	0.3562743168
56	0.3555057193
57	0.3546365572
58	0.3541405697
59	0.353710917
60	0.3521798665
61	0.3516510829
62	0.3508641544
63	0.3501845494
64	0.3498950421
65	0.3494728652
66	0.3488113096
67	0.3481947112
68	0.3477940399
69	0.3472559372
70	0.3458332087
71	0.3452539124
72	0.3444804249
73	0.3441871797
74	0.3436670751
75	0.3429150677
76	0.3416563456
77	0.3413733668
78	0.3410865732
79	0.340664934
80	0.3398010459
81	0.3392504238
82	0.3388106583
83	0.338129594
84	0.3376551635
85	0.3370687242
86	0.336704331
87	0.3361489213
88	0.3357305591
89	0.3350947847
90	0.3347797266
91	0.3345549923
92	0.334266509
93	0.333794613
94	0.3334320376
95	0.3332301146
96	0.3328474928
97	0.3321676574
98	0.3315549761
99	0.3312548695
100	0.3308135167
101	0.3304029887
102	0.3301823763
103	0.3298057966
104	0.3292582979
105	0.3289604187
106	0.3286895752
107	0.3283501183
108	0.328081579
109	0.3277522862
110	0.3275505424
111	0.3273628798
112	0.3270839205
113	0.3267907776
114	0.3264713927
115	0.3261676251
116	0.3257884595
117	0.3255446773
118	0.3253552738
119	0.325104579
120	0.324826823
121	0.3246294572
122	0.324229042
123	0.3239172609
124	0.3236724546
125	0.3224614291
126	0.3222526192
127	0.3220284481
128	0.3214100575
129	0.3211878322
130	0.3208533421
131	0.3207114047
132	0.3204630909
133	0.3202486486
134	0.3194946699
135	0.3192942062
136	0.3189349847
137	0.3182016923
138	0.3179865587
139	0.3176431336
140	0.3170478104
141	0.3168973987
142	0.3162481065
143	0.3159154854
144	0.3149984987
145	0.3138976385
146	0.313708747
147	0.3136317362
148	0.3133406159
149	0.3129708207
150	0.3128677471
151	0.3127145447
152	0.3125967243
153	0.3121725761
154	0.3119970232
155	0.3114760738
156	0.3111061762
157	0.3107289052
158	0.3104159976
159	0.3100594642
160	0.3098921296
161	0.3090806487
162	0.308916924
163	0.3085642053
164	0.3083753138
165	0.3080473778
166	0.3078229251
167	0.3076734863
168	0.3075077902
169	0.307389893
170	0.3072754265
171	0.3069866872
172	0.3068662554
173	0.3063976621
174	0.3060173188
175	0.3057286307
