iter	Logloss
176	0.3055027955
177	0.3053735055
178	0.3051156166
179	0.3047943371
180	0.3038940686
181	0.3037418391
182	0.3030137952
183	0.3029011976
184	0.302834274
185	0.30245475
186	0.3015704059
187	0.3014092669
188	0.3011519157
189	0.3009776173
190	0.3009140732
191	0.3007845271
192	0.3006795333
193	0.299787995
194	0.2991257226
195	0.29898952
196	0.2988202908
197	0.2985113515
198	0.2983930191
199	0.2980050209
200	0.2977380945
201	0.297518967
202	0.2971426433
203	0.2968560545
204	0.2966334196
205	0.2962797024
206	0.2961956255
207	0.295954045
208	0.2957828189
209	0.2951494767
210	0.2945000053
211	0.2941141577
212	0.2938523517
213	0.2935051886
214	0.2934281522
215	0.2929782739
216	0.2928996502
217	0.2925083749
218	0.291908213
219	0.2913455579
220	0.2911345719
221	0.2903007917
222	0.2901751115
223	0.2900760062
224	0.2898806118
225	0.289309508
226	0.289115957
227	0.2889724834
228	0.2889094257
229	0.2883877338
230	0.2882929296
231	0.2879220335
232	0.2877128652
233	0.2876602787
234	0.2875769698
235	0.2872304468
236	0.2870992878
237	0.2868407845
238	0.2864413421
239	0.285623128
240	0.2853695914
241	0.2851348211
242	0.2850673599
243	0.2848855857
244	0.2847021474
245	0.2844902909
246	0.2839739243
247	0.2832285478
248	0.2827863245
249	0.2825544729
250	0.2821565154
251	0.2820285055
252	0.2817002111
253	0.2813431657
254	0.2812933698
255	0.281063131
256	0.2808015555
257	0.280588086
258	0.2803233358
259	0.2799960655
260	0.2797964723
261	0.2790975123
262	0.2788746725
263	0.278614633
264	0.2784109948
265	0.2781858508
266	0.277978065
267	0.2777702024
268	0.2775681259
269	0.277313386
270	0.2766308368
271	0.2763968858
272	0.276096216
273	0.2760537679
274	0.2759849753
275	0.2759120352
276	0.2758514609
277	0.2758014858
278	0.2756162298
279	0.2755604174
280	0.2754530939
281	0.2750883678
282	0.274733473
283	0.274564807
284	0.2744962705
285	0.2744013639
286	0.2740964698
287	0.2738636708
288	0.2732471236
289	0.2730846533
290	0.2727538499
291	0.2724631649
292	0.2723550989
293	0.2717516854
294	0.2712074126
295	0.2710832429
296	0.2710281987
297	0.270821949
298	0.2707543341
299	0.2704618569
300	0.2701538393
301	0.26994229
302	0.2697765171
303	0.2696497616
304	0.2692711337
305	0.2692117371
306	0.2687804203
307	0.2687384074
308	0.2685532538
309	0.2683451096
310	0.2683095228
311	0.2677785118
312	0.2677408513
313	0.2675362145
314	0.2673308609
315	0.267287696
316	0.2671893587
317	0.2669171327
318	0.2666716864
319	0.2664136183
320	0.2662391919
321	0.2661941836
322	0.2660690666
323	0.2658055197
324	0.2656366233
325	0.2654385663
326	0.2653190306
327	0.2652414821
328	0.265029088
329	0.2649143398
330	0.2646846643
331	0.2645551438
332	0.2643227801
333	0.2640829918
334	0.2640117159
335	0.2637323469
336	0.2636256122
337	0.2631460612
338	0.262878802
339	0.2627237307
340	0.262535044
341	0.2624876291
342	0.2622655574
343	0.2619303505
344	0.2614432725
345	0.2613111406
346	0.2609627231
347	0.2606015813
348	0.260427283
349	0.2600219778
